grupo,data,hora,mandante,gols_mandante,gols_visitante,visitante,placar,intervalo,sede,disputado,marcadores
A,2026-06-11,13:00,Mexico,2,0,South Africa,2-0,1-0,Mexico City,True,Julián Quiñones 9' Raúl Jiménez 67'
A,2026-06-11,20:00,South Korea,2,1,Czech Republic,2-1,0-0,Guadalajara (Zapopan),True,Hwang In-Beom 67' Oh Hyeon-Gyu 80'; Ladislav Krejcí 59'
A,2026-06-18,12:00,Czech Republic,1,1,South Africa,1-1,1-0,Atlanta,True,Michal Sadílek 6'; Teboho Mokoena 83'(p
A,2026-06-18,19:00,Mexico,1,0,South Korea,1-0,0-0,Guadalajara (Zapopan),True,Luis Romo 50'
A,2026-06-24,19:00,Czech Republic,,,Mexico,,,Mexico City,False,
A,2026-06-24,19:00,South Africa,,,South Korea,,,Monterrey (Guadalupe),False,
B,2026-06-12,15:00,Canada,1,1,Bosnia & Herzegovina,1-1,0-1,Toronto,True,Cyle Larin 78'; Jovo Lukić 21'
B,2026-06-13,12:00,Qatar,1,1,Switzerland,1-1,0-1,San Francisco Bay Area (Santa Clara),True,Miro Muheim 90+4'(og); Breel Embolo 17'(p
B,2026-06-18,12:00,Switzerland,4,1,Bosnia & Herzegovina,4-1,0-0,Los Angeles (Inglewood),True,"Johan Manzambi 74',90' Rubén Vargas 84' Granit Xhaka 90+7'(p); Ermin Mahmic 90+3'"
B,2026-06-18,15:00,Canada,6,0,Qatar,6-0,3-0,Vancouver,True,"Cyle Larin 16' Jonathan David 29',45+3' Nathan Saliba 64' Mohamed Manai 75'(og) Jonathan David 90+2'"
B,2026-06-24,12:00,Switzerland,,,Canada,,,Vancouver,False,
B,2026-06-24,12:00,Bosnia & Herzegovina,,,Qatar,,,Seattle,False,
C,2026-06-13,18:00,Brazil,1,1,Morocco,1-1,1-1,New York/New Jersey (East Rutherford),True,Vinícius Júnior 32'; Ismael Saibari 21'
C,2026-06-13,21:00,Haiti,0,1,Scotland,0-1,0-1,Boston (Foxborough),True,John McGinn 28'
C,2026-06-19,18:00,Scotland,0,1,Morocco,0-1,0-1,Boston (Foxborough),True,Ismael Saibari 2'
C,2026-06-19,20:30,Brazil,3,0,Haiti,3-0,3-0,Philadelphia,True,"Matheus Cunha 23',36' Vinícius Júnior 45+3'"
C,2026-06-24,18:00,Scotland,,,Brazil,,,Miami (Miami Gardens),False,
C,2026-06-24,18:00,Morocco,,,Haiti,,,Atlanta,False,
D,2026-06-12,18:00,USA,4,1,Paraguay,4-1,3-0,Los Angeles (Inglewood),True,"Damian Bobadilla 7'(og) Folarin Balogun 31',45+5' Giovanni Reyna 90+8'; Mauricio 73'"
D,2026-06-13,21:00,Australia,2,0,Turkey,2-0,1-0,Vancouver,True,Nestory Irankunda 27' Connor Metcalfe 75'
D,2026-06-19,12:00,USA,2,0,Australia,2-0,2-0,Seattle,True,Cameron Burgess 11'(og) Alex Freeman 43'
D,2026-06-19,20:00,Turkey,0,1,Paraguay,0-1,0-1,San Francisco Bay Area (Santa Clara),True,Matías Galarza 2'
D,2026-06-25,19:00,Turkey,,,USA,,,Los Angeles (Inglewood),False,
D,2026-06-25,19:00,Paraguay,,,Australia,,,San Francisco Bay Area (Santa Clara),False,
E,2026-06-14,12:00,Germany,7,1,Curaçao,7-1,3-1,Houston,True,"Felix Nmecha 6' Nico Schlotterbeck 38' Kai Havertz 45+5'(p),88' Jamal Musiala 47' Nathaniel Brown 68' Deniz Undav 78'; Livano Comenencia 21'"
E,2026-06-14,19:00,Ivory Coast,1,0,Ecuador,1-0,0-0,Philadelphia,True,Amad Diallo 90'
E,2026-06-20,16:00,Germany,2,1,Ivory Coast,2-1,0-1,Toronto,True,"Deniz Undav 68',90+4'; Franck Kessié 30'"
E,2026-06-20,19:00,Ecuador,0,0,Curaçao,0-0,0-0,Kansas City,True,
E,2026-06-25,16:00,Curaçao,,,Ivory Coast,,,Philadelphia,False,
E,2026-06-25,16:00,Ecuador,,,Germany,,,New York/New Jersey (East Rutherford),False,
F,2026-06-14,15:00,Netherlands,2,2,Japan,2-2,0-0,Dallas (Arlington),True,Virgil van Dijk 51' Crysencio Summerville 64'; Keito Nakamura 57' Daichi Kamada 88'
F,2026-06-14,20:00,Sweden,5,1,Tunisia,5-1,2-1,Monterrey (Guadalupe),True,"Yasin Ayari 7',90+6' Alexander Isak 30' Viktor Gyökeres 59' Mattias Svanberg 84'; Omar Rekik 43'"
F,2026-06-20,12:00,Netherlands,5,1,Sweden,5-1,2-0,Houston,True,"Brian Brobbey 5',17' Cody Gakpo 47',54' Crysencio Summerville 89'; Anthony Elanga 59'"
F,2026-06-20,22:00,Tunisia,0,4,Japan,0-4,0-2,Monterrey (Guadalupe),True,"Daichi Kamada 4' Ayase Ueda 31',83' Junya Ito 69'"
F,2026-06-25,18:00,Japan,,,Sweden,,,Dallas (Arlington),False,
